Date,City,District_Code,Division_Type,Frontage,Bedroom,Restroom,Floor,Ground_Area,Living_Area,Price
2024-11-06, TPHCM,DGOVAPHCM,Urban,0,2,2,2.0,44,88.0,4700
2024-11-06, TPHCM,D3HCM,Urban,1,3,3,4.0,200,800.0,130000
2024-11-06, TPHCM,DPHUNHUANHCM,Urban,1,3,4,5.0,100,500.0,34000
2024-11-06, TPHCM,DGOVAPHCM,Urban,0,3,3,3.0,29,87.0,3970
2024-11-06, TPHCM,D10HCM,Urban,1,15,15,6.0,100,600.0,30000
2024-11-06, TPHCM,DGOVAPHCM,Urban,0,2,2,2.0,38,76.0,3980
2024-11-06, TPHCM,D9TDHCM,Urban,0,4,4,4.0,140,560.0,7500
2024-11-06, TPHCM,DGOVAPHCM,Urban,0,4,6,5.0,70,350.0,9900
2024-11-06, TPHCM,D3HCM,Urban,1,7,7,7.0,210,1470.0,90000
2024-11-06, TPHCM,DGOVAPHCM,Urban,0,3,4,4.0,40,160.0,4990
2024-11-06, TPHCM,D1HCM,Urban,1,10,6,7.0,81,567.0,50000
2024-11-06, TPHCM,D9TDHCM,Urban,0,4,4,4.0,140,560.0,9520
2024-11-06, TPHCM,DGOVAPHCM,Urban,0,4,3,4.0,55,220.0,5900
2024-11-06, TPHCM,D3HCM,Urban,1,2,2,2.0,360,720.0,100000
2024-11-06, TPHCM,D9TDHCM,Urban,1,4,4,4.0,140,560.0,7000
2024-11-06, TPHCM,DGOVAPHCM,Urban,0,2,2,2.0,42,84.0,4050
2024-11-06, TPHCM,D3HCM,Urban,1,2,2,8.0,192,1536.0,60000
2024-11-06, TPHCM,D9TDHCM,Urban,0,4,4,4.0,52,208.0,6000
2024-11-06, TPHCM,D9TDHCM,Urban,1,4,4,4.0,140,560.0,7000
2024-11-06, TPHCM,DGOVAPHCM,Urban,0,3,5,5.0,52,260.0,7490
2024-11-06, TPHCM,DGOVAPHCM,Urban,0,2,2,2.0,49,98.0,4650
2024-11-06, TPHCM,D3HCM,Urban,1,3,3,4.0,200,800.0,130000
2024-11-06, TPHCM,DTANBINHHCM,Urban,1,4,5,6.0,200,1200.0,60000
2024-11-06, TPHCM,D9TDHCM,Urban,0,4,3,3.0,54,162.0,5000
2024-11-06, TPHCM,D10HCM,Urban,1,3,3,3.0,68,204.0,21500
2024-11-06, TPHCM,D2TDHCM,Urban,0,1,1,3.0,71,213.0,4000
2024-11-06, TPHCM,D2TDHCM,Urban,1,0,0,3.0,533,1599.0,200000
2024-11-06, TPHCM,D3HCM,Urban,1,3,4,4.0,72,288.0,27000
2024-11-06, TPHCM,D9TDHCM,Urban,0,3,3,2.0,83,166.0,7000
2024-11-06, TPHCM,DGOVAPHCM,Urban,0,4,5,5.0,60,300.0,7500
2024-11-06, TPHCM,DPHUNHUANHCM,Urban,0,5,3,3.0,75,225.0,19000
2024-11-06, TPHCM,DBINHTANHCM,Urban,0,4,5,5.0,64,320.0,6500
2024-11-06, TPHCM,D1HCM,Urban,1,0,0,5.0,110,550.0,75000
2024-11-06, TPHCM,DGOVAPHCM,Urban,0,2,2,2.0,68,136.0,4950
2024-11-06, TPHCM,D1HCM,Urban,1,4,3,3.0,84,252.0,35000
2024-11-06, TPHCM,DGOVAPHCM,Urban,0,2,2,2.0,48,96.0,4350
2024-11-06, TPHCM,D1HCM,Urban,1,5,5,5.0,200,1000.0,60000
2024-11-06, TPHCM,D1HCM,Urban,1,3,4,4.0,73,292.0,28000
2024-11-06, TPHCM,DGOVAPHCM,Urban,0,2,3,2.0,53,106.0,4860
2024-11-06, TPHCM,D10HCM,Urban,1,5,5,3.0,150,450.0,38000
2024-11-06, TPHCM,D1HCM,Urban,1,8,8,9.0,154,1386.0,145000
2024-11-06, TPHCM,D3HCM,Urban,1,4,5,6.0,70,420.0,20000
2024-11-06, TPHCM,DGOVAPHCM,Urban,0,2,2,2.0,38,76.0,4150
2024-11-06, TPHCM,DGOVAPHCM,Urban,0,3,3,3.0,37,111.0,4370
2024-11-06, TPHCM,D3HCM,Urban,1,5,5,5.0,160,800.0,132000
2024-11-06, TPHCM,DGOVAPHCM,Urban,0,3,3,4.0,42,168.0,5250
2024-11-06, TPHCM,DTANBINHHCM,Urban,1,7,5,5.0,99,495.0,14900
2024-11-06, TPHCM,D3HCM,Urban,1,2,2,2.0,175,350.0,59000
2024-11-06, TPHCM,DGOVAPHCM,Urban,0,3,4,4.0,45,180.0,5650
2024-11-06, TPHCM,D3HCM,Urban,1,7,7,7.0,160,1120.0,53000
2024-11-06, TPHCM,D1HCM,Urban,1,3,4,4.0,73,292.0,27000
2024-11-06, TPHCM,DGOVAPHCM,Urban,0,3,3,3.0,42,126.0,4500
2024-11-06, TPHCM,D10HCM,Urban,1,5,5,3.0,137,411.0,60000
2024-11-06, TPHCM,D2TDHCM,Urban,1,0,0,16.0,1200,19200.0,28000
2024-11-06, TPHCM,D1HCM,Urban,1,5,5,6.0,240,1440.0,105000
2024-11-06, TPHCM,DGOVAPHCM,Urban,0,4,5,4.0,54,216.0,6900
2024-11-06, TPHCM,D3HCM,Urban,1,10,10,11.0,200,2200.0,115000
